,Midea,Haier,A.O.SMITH
耗能/简洁/温度/比较/接受/情况/恒温,0.2659109874297503,0.3043150705333361,0.18654797349583124
颜色/这款/装好/简单/等待/看着/热心,0.05722918330421661,0.05825480039814346,0.0413335403074554
装修/相信/牌子/期待/按装/拥有/应该,0.0821240380857906,0.08866999421164383,0.07445041956831222
选择/联系/第二天/活动/时间/收到/客服,0.18996216197519872,0.17621047114020036,0.13216971683682743
追评/详细/讲解/认真/收费/好评/耐心,0.1614708956328914,0.18191046541093842,0.23464834391535555
第二次/真的/特色/水温/放心/实惠/喜欢,0.06089141340214389,0.05743374474433246,0.04441328365991734
热情/服务到位/技术/周到/及时/一流/送货,0.18241132017000847,0.13320545356140534,0.2864367222163008
